bottleneck_rank,corridor,mean_speed_kmh,min_speed_kmh,max_speed_kmh,observations
1,Hayam Wuruk,20.823333333333334,15.64,24.76,12
2,Veteran,22.9575,21.22,24.1,12
3,Ciputat,23.543333333333333,23.06,24.15,12
4,Margaguna,23.845,22.91,24.69,12
5,Kembangan,25.060833333333335,23.24,25.86,12
6,Ujung Menteng,25.333333333333332,23.81,26.08,12
7,Cipete Raya,26.356666666666666,25.08,27.22,12
8,Cilandak,26.441666666666666,25.74,26.89,12
9,Tomang,26.549166666666668,25.04,28.38,12
10,Pramuka,26.66,25.9,27.3,12
11,Gunung Sahari,27.030833333333334,26.58,27.73,12
12,Suprapto,27.411666666666665,26.41,28.31,12
13,Panglima Polim,27.465,26.57,28.31,12
14,Pondok Gede,27.47583333333333,26.86,27.99,12
15,Tegal Parang,29.076666666666668,28.13,31.44,12
16,Antasari,29.33666666666667,28.35,30.58,12
17,Majapahit,29.510833333333334,28.35,31.98,12
18,Raya Bogor,29.861666666666668,29.35,31.39,12
19,Cempaka Putih,29.9425,28.8,30.5,12
20,Soekanto,30.5625,30.18,30.92,12
21,Thamrin,30.588333333333335,25.94,34.46,12
22,Bundaran Senayan,31.415000000000003,28.92,35.74,12
23,Medan Merdeka,31.449166666666667,28.99,33.23,12
24,Cawang Sutoyo,31.476666666666663,29.05,32.66,12
25,Lenteng Agung,31.815,30.8,32.41,12
26,Suryopranoto,32.020833333333336,28.57,35.05,12
27,Kemanggisan,32.141666666666666,31.57,33.14,12
28,Pasar Minggu,32.3525,30.6,33.4,12
29,S Parman,32.70666666666667,30.73,34.96,12
30,Kalimalang,32.775,31.75,33.69,12
31,Hankam,32.9125,28.71,34.35,12
32,Rasuna Said,32.972500000000004,30.05,34.44,12
33,Joglo,33.969166666666666,33.41,35.03,12
34,Sisingamangaraja,34.593333333333334,33.41,36.09,12
35,Iskandar Muda,34.67416666666667,33.63,35.88,12
36,Karet,34.94,28.32,37.9,12
37,I Gusti Ngurah Rai,35.4375,34.6,36.1,12
38,Salemba,35.53333333333333,30.49,37.85,12
39,Kyai Caringin,35.825833333333335,34.69,37.14,12
40,Pondok Indah,37.22,33.39,38.62,12
41,Daan Mogot,37.903333333333336,36.38,40.63,12
42,Kramat,39.027499999999996,37.89,40.26,12
43,Tebet BUMD,40.9175,39.86,41.88,12
44,Balikpapan,42.275,41.19,43.64,12
45,Senen,43.1325,41.5,43.83,12
46,Jalan Panjang,46.19,44.98,47.19,12
47,Pemuda,48.105,38.47,51.5,12
48,Perintis,48.1475,46.57,49.28,12
