periode_data,bulan,nama_jalan,kecepatan
2023,5,"Panglima Polim","27,62"
2023,5,Sisingamangaraja,"35,07"
2023,5,Suryopranoto,"33,37"
2023,5,"Cawang Sutoyo","31,83"
2023,5,"Cempaka Putih","30,23"
2023,5,Salemba,"35,96"
2023,5,"Hayam Wuruk","15,94"
2023,5,"Gunung Sahari","27,58"
2023,5,Tomang,"27,00"
2023,5,"Tebet BUMD","41,06"
2023,5,"Tegal Parang","29,12"
2023,5,"Rasuna Said","33,31"
2023,5,"S Parman","33,31"
2023,5,Thamrin,"26,58"
2023,5,Antasari,"29,17"
2023,5,Balikpapan,"42,23"
2023,5,Cilandak,"26,30"
2023,5,Ciputat,"23,53"
2023,5,"Daan Mogot","36,38"
2023,5,Hankam,"33,48"
2023,5,"I Gusti Ngurah Rai","35,48"
2023,5,"Iskandar Muda","35,00"
2023,5,"Jalan Panjang","46,79"
2023,5,Joglo,"34,53"
2023,5,Kalimalang,"32,27"
2023,5,Kemanggisan,"32,24"
2023,5,Kembangan,"25,68"
2023,5,Kramat,"38,75"
2023,5,"Kyai Caringin","36,48"
2023,5,"Lenteng Agung","31,60"
2023,5,Majapahit,"29,25"
2023,5,Margaguna,"23,90"
2023,5,"Medan Merdeka","32,19"
2023,5,"Pasar Minggu","32,19"
2023,5,Pemuda,"49,75"
2023,5,Perintis,"49,03"
2023,5,"Pondok Gede","27,40"
2023,5,"Pondok Indah","33,39"
2023,5,Pramuka,"26,83"
2023,5,"Raya Bogor","29,35"
2023,5,Senen,"43,56"
2023,5,Soekanto,"30,79"
2023,5,Suprapto,"27,06"
2023,5,"Ujung Menteng","25,88"
2023,5,Veteran,"23,83"
2023,6,"Cipete Raya","26,61"
2023,6,Karet,"33,58"
2023,6,"Bundaran Senayan","29,34"
2023,6,"Panglima Polim","27,51"
2023,6,Sisingamangaraja,"35,25"
2023,6,Suryopranoto,"33,01"
2023,6,"Cawang Sutoyo","32,02"
2023,6,"Cempaka Putih","30,30"
2023,6,Salemba,"36,25"
2023,6,"Hayam Wuruk","15,64"
2023,6,"Gunung Sahari","26,73"
2023,6,Tomang,"26,65"
2023,6,"Tebet BUMD","41,75"
2023,6,"Tegal Parang","28,56"
2023,6,"Rasuna Said","33,22"
2023,6,"S Parman","32,87"
2023,6,Thamrin,"28,64"
2023,6,Antasari,"29,05"
2023,6,Balikpapan,"42,34"
2023,6,Cilandak,"26,89"
2023,6,Ciputat,"23,20"
2023,6,"Daan Mogot","36,50"
2023,6,Hankam,"33,66"
2023,6,"I Gusti Ngurah Rai","35,99"
2023,6,"Iskandar Muda","35,02"
2023,6,"Jalan Panjang","47,08"
2023,6,Joglo,"33,75"
2023,6,Kalimalang,"33,33"
2023,6,Kemanggisan,"32,50"
2023,6,Kembangan,"25,56"
2023,6,Kramat,"39,05"
2023,6,"Kyai Caringin","35,77"
2023,6,"Lenteng Agung","31,85"
2023,6,Majapahit,"29,32"
2023,6,Margaguna,"24,22"
2023,6,"Medan Merdeka","29,56"
